ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,distance_gspphot
274.3769654452208,-18.946342455104674,0.4721929134960899,16.901073,17.668507,16.024183,,1075.3798
274.36373795708585,-18.946778524144683,0.20790289207387044,16.081568,17.460344,14.929194,,2490.3506
274.37068971885094,-18.9432285467241,0.27983734830473117,16.990288,19.389704,15.539756,,1362.1432
274.3739274014502,-18.940377645881394,0.43289925161825316,13.189498,14.395838,12.101969,-14.819783,2107.3152
274.3716278674776,-18.940608410779724,0.11882697177053855,16.238186,16.940851,15.348299,,1933.4846
274.3661153197224,-18.947525883399617,-1.0852441634756047,20.098175,21.747993,18.781822,,
274.36711603372646,-18.949153694701145,-0.10393237161457457,18.986322,20.758099,17.509233,,411.2223
274.3678757301531,-18.952151894245628,1.1781478251701076,19.82655,21.837496,18.113447,,
274.36932614491286,-18.945297386531458,0.09597067286371608,18.880447,21.585041,17.44504,,423.51
274.37048577855404,-18.942045282792233,-0.14800053900189716,19.038157,21.874008,17.603725,,
274.3745660887627,-18.943849349670778,0.23306859970997176,18.739414,20.710169,16.965475,,
274.3751556583889,-18.94133209510463,0.6877044478667571,16.3352,17.036236,15.434477,,792.0545
274.3759867684591,-18.945558651379283,-0.20277928099022544,18.357521,20.722805,16.841906,,988.0759
274.3784689477937,-18.94439129908011,0.5440948169012705,19.562504,21.377869,18.038488,,
274.37866125527216,-18.946176395012042,-0.33313747681697403,19.58475,21.360443,17.836056,,
274.3798102733138,-18.947524994147432,0.14882648659245082,19.204475,21.583923,17.77081,,
274.38202044254587,-18.946524895577504,1.576613769596467,18.921516,20.211657,17.76194,,388.8448
274.37753042695266,-18.948416893350114,4.987179183871949E-4,18.03685,20.579117,16.47378,,
274.37582255805603,-18.948106778014797,0.44467909686820345,17.806595,18.93981,16.760086,,742.3873
274.3733193273521,-18.95028700784844,1.0564481801596484,19.918266,21.774578,18.627886,,
274.3778198603927,-18.94603889123955,0.2580755886028379,19.805645,20.695225,18.780048,,
274.3732007996152,-18.94963100225972,-0.014441062953718643,20.178934,,,,
274.3754584268917,-18.946566082469875,0.22933655074191922,19.329565,20.807673,18.189426,,
274.37688979959484,-18.945340909291783,,20.779697,,,,
274.3765286199793,-18.945397229031702,0.3143813969821046,20.04316,,18.298946,,
274.3704851460446,-18.950541683146543,0.5195505178367086,18.048115,18.868753,17.057919,,622.9352
274.36885709397,-18.951948610296327,0.8882894957260403,19.76595,21.18721,18.796116,,
274.3769075352766,-18.943911161573862,0.5356599695731669,17.365057,18.116323,16.512062,,813.4427
274.37252511343706,-18.94760799213903,0.47827410025934797,19.758404,21.020954,18.677269,,
274.3693393416994,-18.94991887601624,0.38240621616463194,20.261082,21.206095,18.92699,,
274.37478704705757,-18.94381151303943,,19.7373,,,,
