mg,mb,mr,parallax
13.828926,14.352801,13.156463,2.5907330556048835
15.768192,16.135176,15.236485,0.47555560388177315
16.655432,17.61639,15.686788,2.1395705430389773
17.806244,18.711916,16.812859,1.0898291190292795
15.644603,16.202936,14.943708,0.36564553379757714
16.162859,16.568726,15.592558,0.5219894005729763
15.255168,15.6200905,14.720763,0.4890512282701701
16.30914,17.177624,15.37121,1.4569690096629584
16.892609,17.693144,16.033207,0.9375906146864375
15.873668,16.256683,15.314354,0.4478589017887127
15.784703,16.197912,15.207987,0.729262284837209
15.881765,16.305918,15.303194,0.4251244299367791
14.843762,15.199781,14.312712,0.8102208806049712
13.185772,13.461504,12.752685,1.0330593686679093
13.8051815,14.259425,13.19628,2.1844597312802208
14.776828,15.156052,14.231917,0.507071114473078
16.584291,17.093836,15.916756,0.5334975041279104
15.495497,15.853096,14.976755,0.5525313027195354
16.633186,17.071865,16.054995,0.5120767749188151
15.5348,15.84724,15.037701,0.48251435580757984
16.182646,16.578428,15.62947,0.4912496166060423
16.574163,17.021976,15.975028,0.5118125588940127
16.098265,16.459463,15.576731,0.39463080788851207
14.896231,15.3711405,14.25773,0.5032839413040547
16.646194,17.118643,16.02899,0.5462744506507434
17.171965,17.93648,16.333897,1.0894543608142073
14.266969,14.802068,13.586396,0.5378633611580078
16.473116,16.891472,15.897855,0.4915658874076808
17.072344,17.567,16.432394,0.5583506801209837
16.329256,17.088284,15.441675,1.2182464634546875
16.003635,16.696795,15.215313,1.4389374031218682
16.281487,16.749962,15.650751,0.755416376762951
16.087072,16.581188,15.442595,0.9439858876802889
15.910845,16.414259,15.246722,0.333015409001413
16.070656,16.394358,15.577648,0.3912440078394577
15.455034,15.807095,14.942012,0.5066726196748402
14.531039,15.054331,13.8560915,0.5505391254149783
15.999529,16.366934,15.476419,0.4688010729117024
16.421522,16.83467,15.851268,0.5187453480477038
10.637871,10.944948,10.16788,2.430723573304778
16.531027,16.969416,15.937078,0.4813060881020232
17.073433,17.564056,16.437319,0.5693295194471559
13.74707,14.109495,13.218895,1.3525451698098532
16.47335,16.96702,15.816701,0.8140373754980605
16.722607,17.175583,16.119362,0.5350823864854893
13.381167,13.672966,12.926943,1.1471627318188553
16.751472,17.175987,16.175194,0.5044649342406006
15.0051365,15.33649,14.5058365,0.5919295265666203
15.271702,15.67012,14.707694,0.5910942905909147
15.704668,16.035416,15.206733,0.5201483791708413
18.534927,19.77524,17.4273,1.3562250532257663
16.360838,16.753542,15.808047,0.5579572822238624
15.848922,16.660437,14.9603195,2.236762915003306
16.215094,16.533121,15.732497,0.39343660603679087
16.524677,17.859789,15.375529,3.686995553216156
16.512115,16.964056,15.917691,0.6939970456969927
13.381274,13.740106,12.858838,1.8664234306907048
14.74198,15.201519,14.114545,0.4279527308743239
17.18068,18.050795,16.284513,1.3981363577611559
15.364356,15.703253,14.85242,0.774084338299532
16.631523,17.07852,16.035229,0.5876077294922496
15.092277,15.431436,14.588605,0.5366564731740616
15.224773,15.570758,14.713784,0.5374947245562313
15.925898,16.298512,15.388321,0.4988538639199793
13.815967,14.340447,13.132513,0.18992892043973267
14.713093,15.386137,13.928357,2.610155388015597
14.875455,15.240147,14.348864,0.4833169810094199
16.216162,16.603634,15.671333,0.462722978259237
14.836887,15.254535,14.251181,1.1148821207848736
14.560332,15.102006,13.872413,2.266010960935522
16.771872,17.233305,16.183584,0.5546959303848058
17.007462,17.462782,16.401253,0.5557375420476715
