mg,mb,mr,parallax
19.114296,19.72292,18.381004,0.38302063387484403
17.533115,18.035652,16.887316,0.2185579627785517
19.82208,20.274145,19.168022,0.30283409988025983
19.851501,21.058695,18.718643,0.546850274676471
19.503853,19.92135,18.857649,0.3765138085836121
19.980759,20.387123,18.94212,1.6144805446521562
15.891982,16.433342,15.179363,0.1289844153732045
20.69916,21.358547,19.926779,-0.6673011715575967
18.069855,18.544226,17.430351,0.22690370782004615
18.08274,18.85272,17.255526,0.6795634120182008
21.11888,21.901314,20.194458,
20.033272,20.432653,19.501303,-0.054412210862443716
19.768993,20.457901,19.290518,-0.20813677797413524
20.666681,21.337465,19.597271,-1.0519566288394684
20.764881,21.73757,19.744417,-1.3189615438182678
18.079983,18.58096,17.432762,0.3217107575419087
20.028746,20.408707,19.383827,-0.6712979974253357
19.16014,19.656141,18.426298,0.11951108688450007
20.920977,21.261711,20.231144,
20.967104,21.780737,20.03182,
19.073944,19.386723,18.28172,-0.05404218875609527
19.658525,20.194675,18.93619,0.05941827020694401
19.50042,20.066616,18.74487,-0.5799409326025013
19.812576,20.369854,19.206394,0.9908919827563508
19.156874,20.091944,18.20176,1.0193208589377225
21.132391,21.598452,19.988928,
17.158945,17.665894,16.493073,0.2281531262198463
20.754356,21.542465,19.448772,-2.4724544588444934
18.959368,20.11751,17.865576,0.908488248699813
18.75155,19.2412,18.069687,-0.05931020237073284
19.991524,20.436466,19.338646,0.08682392100574987
16.749027,17.195793,16.118176,0.4797717685968934
20.055304,20.630297,19.202826,-0.03680060691410701
19.739725,20.363918,19.023697,-1.1443918488227764
18.0444,18.514763,17.40052,0.07758285067115452
18.095636,18.724743,17.326292,0.4956042191744397
20.564346,,,
20.285973,20.680529,19.651094,0.4417230810368475
13.57627,13.978136,13.003187,1.4105020761625697
19.58842,20.15647,18.80697,0.21439543521332136
18.055344,18.629627,17.318962,0.4007356935956966
20.847456,20.770452,20.022324,-0.07163621394426617
16.308638,16.796368,15.649914,0.5369141192173903
19.095613,20.100094,18.19636,0.44082060667597256
19.911015,20.786253,19.156183,-0.18596867182149354
18.446043,18.890564,17.817879,-0.008060592640044072
19.137274,19.795103,18.330942,-0.3069300929512509
20.242546,21.01622,19.45628,-0.09021888310833026
19.278868,19.636847,18.714806,-0.07909825042498278
19.216824,18.824923,17.819033,-0.03745446661908127
19.979294,,,0.4469309559752765
13.809131,14.229206,13.208757,1.3525107849910776
20.589388,20.89569,19.93175,-0.48394843950992605
18.636957,19.234045,17.941751,0.4522870795467899
20.468744,20.867264,19.733168,1.391606275444716
20.785925,21.091496,20.053452,1.9604661913054056
21.03796,20.63401,19.680874,
21.004751,22.181023,19.833239,
20.329193,20.982464,19.53176,0.6544400967632441
17.228699,17.880136,16.477123,0.7287843198728976
18.847446,19.321676,18.229284,-0.026184160704204915
19.387337,20.047106,18.688904,-0.5210916834805106
20.585173,20.754519,19.787535,0.22168983881181104
20.718155,21.489998,19.455038,0.12666989467611164
