parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,distance_gspphot
0.6014936678656018,18.063665,18.574821,17.231619,1.3432026,0.5111561,0.8320465,1243.6945
0.2297566475407578,19.411938,20.251099,18.467993,1.7831059,0.8391609,0.94394493,
1.1895181059905144,20.36082,,,,,,
,20.710949,,,,,,
,20.454302,20.858032,19.097794,1.7602386,0.4037304,1.3565083,
,20.728533,,,,,,
,20.765856,21.751661,20.170937,1.5807247,0.9858055,0.5949192,
0.5207090234869068,14.427449,15.092628,13.609306,1.4833212,0.6651783,0.8181429,1600.2518
0.4150023013672912,17.648962,18.166336,16.866737,1.2995987,0.51737404,0.78222466,1654.9788
0.8123277884628568,17.121565,17.613583,16.343,1.2705822,0.49201775,0.77856445,972.3599
0.4761469340149639,15.410263,16.04626,14.612172,1.4340887,0.6359978,0.79809093,2359.1887
-0.19951546123212857,17.917213,18.284872,16.835556,1.449316,0.36765862,1.0816574,
0.5369145825570848,17.748955,18.336086,17.022179,1.3139076,0.5871315,0.7267761,1193.7094
0.6322697846894999,17.51786,18.057703,16.795082,1.2626209,0.5398426,0.7227783,1255.2675
0.5562405760358464,17.989202,18.620708,17.260998,1.3597107,0.63150597,0.7282047,986.6292
0.3896068108933069,17.903824,18.51588,17.168768,1.3471127,0.61205673,0.7350559,1092.4062
0.46866037172908404,16.361206,16.896645,15.663687,1.2329578,0.53543854,0.6975193,2129.64
0.5257035821042279,16.20149,16.71847,15.48474,1.2337294,0.5169792,0.71675014,1871.3389
0.4377199760185083,16.092657,16.633179,15.336931,1.2962475,0.5405216,0.75572586,1716.655
-0.2548188071522915,16.907955,17.31043,16.06943,1.2410011,0.40247536,0.8385258,3291.1294
-2.9360831286916866,19.593609,,,,,,
0.5280598086574668,15.047852,15.690374,14.240148,1.4502268,0.6425228,0.807704,1631.0282
0.4618581696607867,16.407238,16.69247,15.437123,1.2553473,0.28523254,0.9701147,
0.5631610990821029,17.55976,18.168558,16.853247,1.3153114,0.608799,0.70651245,1277.7728
0.3231472168307186,16.149958,16.660244,15.387136,1.2731075,0.51028633,0.7628212,1854.6813
0.42546233631141966,16.621939,17.13019,15.902641,1.2275486,0.5082512,0.7192974,1171.5809
0.6171283614381823,16.817783,17.225042,16.060635,1.1644077,0.407259,0.75714874,1326.8616
0.5322446919092392,18.12856,18.219896,16.964691,1.2552052,0.091337204,1.163868,
0.5682581904906391,17.284842,17.830927,16.561993,1.2689342,0.54608536,0.7228489,1266.7876
0.3972043032112787,16.958153,17.466919,16.204212,1.2627068,0.5087662,0.7539406,1251.3608
0.34075274555500956,17.826109,18.41773,17.06135,1.3563805,0.5916214,0.76475906,1175.9214
0.43025901039829256,16.82511,17.362051,16.129673,1.232378,0.5369415,0.6954365,1501.3105
0.37574914984751967,17.503351,18.08329,16.783283,1.3000069,0.5799389,0.720068,1172.606
0.48979841806199936,16.470749,16.993233,15.785002,1.208231,0.5224838,0.68574715,2569.956
0.6682455896201679,18.543776,18.771639,17.178394,1.5932446,0.22786331,1.3653812,
0.23204354154663384,20.201689,,,,,,
0.4756419643933494,16.132767,16.654074,15.401966,1.2521076,0.521307,0.7308006,1965.6995
0.27284883591868436,17.686726,18.17183,16.864565,1.3072643,0.4851036,0.8221607,1318.6444
0.5274179652309167,16.88697,17.38728,16.08457,1.3027096,0.500309,0.8024006,1032.6473
0.7239911855696346,17.02683,16.886002,15.584852,1.3011494,-0.14082909,1.4419785,
0.5843914967659086,17.437498,,,,,,
,18.171978,,,,,,
0.5540418029258724,13.785763,14.479386,12.938368,1.5410185,0.69362354,0.84739494,
0.10005567090714351,19.774586,20.176105,18.40575,1.7703552,0.40151978,1.3688354,
0.5104748042889352,17.515644,18.100695,16.75721,1.3434849,0.5850506,0.7584343,1141.0223
0.61562475444645,16.898853,17.414558,16.167898,1.2466602,0.5157051,0.7309551,1238.7114
,21.056019,21.317898,21.655859,-0.3379612,0.26187897,-0.59984016,
0.49669234955105457,16.823114,17.345385,16.118557,1.2268276,0.5222702,0.7045574,1370.362
0.5535308647190031,18.584295,18.575565,17.188229,1.3873367,-0.008729935,1.3960667,
,20.87656,21.378513,20.142614,1.235899,0.5019531,0.73394585,
-5.794270504637753,16.901829,17.22341,15.946954,1.2764559,0.3215809,0.954875,
0.32280388775318336,19.786646,20.737305,18.895227,1.8420773,0.9506588,0.89141846,
0.5408727560862147,15.92805,16.52023,15.176277,1.3439522,0.5921793,0.7517729,2220.6917
0.3787413365848641,18.682028,19.4107,17.906124,1.5045757,0.728672,0.7759037,936.351
0.9489029532858508,18.762669,19.577152,18.014961,1.562191,0.81448364,0.74770737,691.0952
0.5583369545616549,18.643162,19.359028,17.877054,1.4819736,0.7158661,0.76610756,1217.8978
0.4704156044772874,17.14988,17.66063,16.378494,1.282135,0.5107498,0.7713852,1119.0238
0.6776976507283292,17.875908,18.481403,17.151518,1.3298855,0.60549545,0.72439003,1279.6837
0.47150584515902805,17.562218,18.13489,16.816639,1.3182507,0.5726719,0.74557877,1288.1093
0.5792120634972554,18.034773,18.622509,17.281614,1.3408947,0.5877361,0.75315857,1390.5995
0.4350235932629247,17.802702,18.3361,16.959425,1.3766747,0.5333977,0.843277,1212.927
0.5043893195008488,18.042889,18.658224,17.309864,1.3483601,0.61533546,0.7330246,1056.1597
0.22723078256405538,19.175735,19.921152,18.274939,1.6462135,0.74541664,0.9007969,
1.1991459143769356,20.044853,,,,,,
1.0278205375829021,17.17035,,,,,,
0.502607048886183,19.33886,20.35621,18.267307,2.0889034,1.0173512,1.0715523,
0.645000714822481,19.158594,,,,,,
0.34178068611473517,18.21185,18.485132,17.12058,1.3645515,0.273283,1.0912685,1470.7106
0.5554968180528226,19.012186,19.692636,18.1576,1.5350361,0.68045044,0.85458565,
0.08525564261194078,19.009533,19.563108,18.067034,1.4960747,0.5535755,0.94249916,
0.7875911257520073,18.560823,18.808762,17.43437,1.3743916,0.24793816,1.1264534,927.1423
0.6066389672637386,16.902452,17.402119,16.198828,1.2032909,0.4996662,0.7036247,
0.6064902620606303,17.661184,18.22412,16.905722,1.3183975,0.5629349,0.75546265,1234.0105
,20.730604,,,,,,
2.7782602025272425,20.479246,19.66165,17.989494,1.6721554,-0.81759644,2.4897518,
0.15838223869980264,17.659649,,,,,,
0.7614872826115183,19.240553,19.846962,18.296543,1.5504189,0.6064091,0.9440098,
0.4888877508954418,18.60668,19.253399,17.770145,1.4832535,0.646719,0.8365345,871.5032
-0.3098792434148875,19.737694,20.292622,18.987452,1.30517,0.5549278,0.75024223,
0.5101362152429016,19.08913,19.812027,18.089111,1.7229156,0.7228966,1.0000191,
0.589895792292073,18.380377,19.02303,17.58763,1.4354,0.6426525,0.7927475,1102.5721
1.405550385067163,20.19066,20.791002,19.757114,1.0338879,0.6003418,0.43354607,
0.3454526000078236,19.827538,20.115595,18.88911,1.2264843,0.28805733,0.938427,
2.4979827883024543,20.559362,21.309784,19.59654,1.7132435,0.7504215,0.96282196,
1.2480051263518914,20.31024,21.246897,19.477064,1.7698326,0.93665695,0.83317566,
0.1875523972323242,20.3613,21.449762,19.351421,2.098341,1.0884628,1.0098782,
-0.415503504062684,20.149426,20.704283,19.16357,1.5407124,0.55485725,0.9858551,
1.7161851498704666,20.37123,21.17748,19.411772,1.7657089,0.8062515,0.9594574,
,20.750593,,,,,,
